feature,importance
VWAP_Norm_10D,0.24391411
RSI,0.058912035
SPY_MACD_Hist,0.04245886
Range_Pct_10D,0.028236005
MACD_Signal,0.023921717
MACD,0.02383572
Volatility_10D,0.02332819
VWAP_Norm_5D,0.023046603
MACD_Hist_Norm,0.022720996
Volatility_20D,0.022454012
DI_Minus,0.02186027
OBV,0.021811528
Upper_BB,0.020743718
BB_Width_Pct,0.019665906
VWAP_5D,0.019383514
Lower_BB,0.019338086
DI_Plus,0.019121008
EMA_12_26_Ratio,0.018900776
ADOSC,0.018466162
MFI,0.018380657
VROC,0.018271444
ADX,0.018065168
pattern,0.017295882
VWAP_Norm_20D,0.01700492
Range_Pct_20D,0.016897663
EMV,0.016820649
MACD_Hist,0.016528908
EMA_26,0.016501723
VWAP_10D,0.015990082
BB_Width,0.015758902
Range_Pct_5D,0.014590094
ADL,0.014068218
ATR,0.014050125
Middle_BB,0.013437014
EMV_MA,0.011957609
OBV_Norm,0.011007249
VWAP_20D,0.010882433
ADL_Norm,0.010814576
EMA_12,0.010225759
Volatility_5D,0.009331689
Realized_Vol_5D,0.0
Realized_Vol_10D,0.0
Realized_Vol_20D,0.0
